바차, 59, 140
아사, 60, 163
마바, 57, 156
하타, 93, 196
타라, 54, 163
타나, 97, 151
하카, 84, 198
나나, 54, 183
자카, 68, 148
다아, 44, 188
마차, 61, 186
타가, 53, 174
나라, 45, 183
바자, 71, 164
카하, 86, 172
타라, 56, 167
마마, 48, 197
하나, 47, 176
라사, 65, 158
나카, 60, 170
카바, 41, 192
하타, 86, 150
바라, 44, 199
바파, 70, 141
카가, 79, 177
파다, 72, 180
나마, 88, 152
바아, 61, 158
파자, 72, 184
타라, 99, 154
바파, 42, 160
차나, 61, 184
다가, 88, 188
타사, 78, 144
사바, 83, 152
하타, 94, 178
라차, 51, 151
가차, 56, 171
바타, 41, 166
라타, 99, 155
하다, 57, 168
가아, 78, 198
카마, 94, 148
타가, 83, 150
가나, 40, 186
하가, 66, 158
사라, 64, 191
다마, 69, 180
다바, 83, 147
아카, 57, 194
나라, 61, 175
하사, 67, 161
라가, 75, 163
타라, 66, 187
나다, 79, 161
사카, 83, 162
아바, 89, 171
다바, 60, 163
사타, 96, 166
라하, 53, 166
차마, 89, 143
마카, 89, 165
파타, 73, 158
파바, 79, 151
마파, 73, 166
바라, 49, 196
타타, 78, 150
하카, 73, 182
가타, 69, 196
가가, 69, 194
파카, 89, 148
차다, 98, 172
라아, 79, 147
자다, 46, 185
마다, 83, 157
카다, 95, 193
차하, 58, 146
바하, 45, 172
차라, 59, 192
다카, 64, 162
자사, 62, 154
파마, 65, 161
차타, 79, 197
하아, 99, 144
마다, 81, 198
아카, 84, 148
아자, 94, 187
가라, 61, 153
차가, 62, 152
바파, 94, 195
파차, 53, 170
하나, 53, 181
마하, 71, 188
사마, 74, 198
아카, 49, 172
다사, 46, 175
바바, 47, 195
가하, 44, 153
카하, 41, 160
카카, 84, 165
차마, 83, 159
마타, 73, 182
하하, 80, 181
라카, 74, 154
차다, 58, 194
다사, 52, 178
다라, 66, 162
가가, 77, 141
하마, 86, 152
타바, 68, 152
자하, 56, 151
나아, 95, 177
사하, 50, 177
자다, 62, 180
자차, 96, 162
하마, 76, 142
다타, 42, 179
나가, 95, 194
아라, 83, 184
타차, 41, 156
타아, 55, 147
마마, 60, 186
나바, 67, 184
차사, 97, 164
카타, 94, 152
나가, 66, 172
아하, 70, 153
다사, 70, 162
